station_name,start_count,end_count,average_lat,average_lng
5 Ave & E 63 St,3778,3789,40.766368000000014,-73.97151800000005
E 58 St & 1 Ave (NW Corner),3762,3776,40.75912499999999,-73.962658
Watts St & Greenwich St,3760,3773,40.72405549,-74.00965965
Morton St & Washington St,3759,3773,40.73115000000001,-74.00887
Frederick Douglass Blvd & W 117 St,3761,3771,40.805159,-73.95469200000001
Clinton St & Joralemon St,3721,3766,40.692395020000006,-73.99337908999999
W 10 St & Washington St,3757,3765,40.73342399437082,-74.00851495563984
W 82 St & Central Park West,4029,3761,40.78275000000001,-73.97137
Grand St & Greene St,3726,3760,40.72170005235608,-74.00238141417502
E 35 St & Madison Ave,4562,3757,40.7484802344858,-73.98255586624146
Huron St & Franklin St,3677,3729,40.73266,-73.95825999999998
South End Ave & Albany St,3723,3727,40.70995700000002,-74.01653799999997
Peck Slip & South St,3700,3721,40.7075188830923,-74.00108054280281
W 87 St & Amsterdam Ave,3774,3718,40.78839000000001,-73.97470000000001
3 Ave & E 71 St,3647,3714,40.76873686999999,-73.96119945000001
Driggs Ave & N 9 St,3640,3707,40.71816969454208,-73.95520135760307
Willoughby Ave & Hall St,3724,3705,40.69196035,-73.96536851
Lenox Ave & W 126 St,3686,3694,40.80844200000001,-73.94520869999997
South St & Gouverneur Ln,3652,3692,40.70355377,-74.00670227
E 63 St & 3 Ave,3884,3678,40.763954000000005,-73.96459999999999
E 88 St & 1 Ave,3627,3673,40.77830100000001,-73.94881340000002
Greenpoint Ave & Manhattan Ave,3574,3668,40.730259999999994,-73.95394000000002
West Thames St,3631,3656,40.70834698,-74.01713444999997
Ave D & E 3 St,3631,3638,40.72082834,-73.97793172
E 76 St & Park Ave,3605,3632,40.77376300000001,-73.96222087999999
7 Ave & W 55 St,3791,3622,40.76412599999999,-73.98097299999999
N Moore St & Hudson St,3484,3621,40.71996118117137,-74.00844320654869
E 51 St & 1 Ave,3630,3619,40.75455731000001,-73.96592975999998
E 56 St & Madison Ave,3673,3608,40.761573,-73.972628
DeKalb Ave & Vanderbilt Ave,3589,3606,40.689407470000006,-73.96885457999998
Pike St & E Broadway,3560,3602,40.714066670000015,-73.99293911
Scholes St & Manhattan Ave,3557,3600,40.708703679999985,-73.9448625
W 87 St & West End Ave,3709,3596,40.789621999999994,-73.97757000000001
Plaza St West & Flatbush Ave,3589,3577,40.6750207,-73.97111473
Central Park North & Adam Clayton Powell Blvd,3550,3576,40.799484,-73.95561299999999
St James Pl & Oliver St,3543,3570,40.71307916,-73.99851192999998
W 35 St & 9 Ave,3578,3570,40.754145192635185,-73.9960889518261
Grand St & Havemeyer St,3535,3553,40.71286844,-73.95698118999998
Amsterdam Ave & W 119 St,3570,3549,40.80863218,-73.95958610000001
W Broadway & W Houston St,3285,3548,40.72637800000001,-74.00047199999997
Centre St & Worth St,3606,3545,40.714948070000005,-74.00234481999999
Lenox Ave & W 111 St,3508,3545,40.7987859,-73.95230000000001
W 100 St & Manhattan Ave,3548,3534,40.79500000000001,-73.96450000000002
E 84 St & 1 Ave,3485,3533,40.77565541,-73.95068615000001
Bank St & Washington St,3494,3522,40.7361967,-74.00859206999999
Washington St & Barrow St,3306,3513,40.73191132323176,-74.008769094944
E 97 St & Madison Ave,3488,3506,40.787800999999995,-73.953559
Warren St & W Broadway,3500,3506,40.71473993,-74.00910626999999
South St & Whitehall St,3516,3502,40.701221280000006,-74.01234218
E 51 St & Lexington Ave,3489,3501,40.75714758,-73.97207835999998
Madison Ave & E 82 St,3454,3490,40.7781314,-73.96069399
2 Ave & E 96 St,3396,3487,40.78396359999999,-73.94716730000003
E 81 St & 1 Ave,3442,3486,40.77377781072322,-73.95197331905365
Atlantic Ave & Fort Greene Pl,3467,3476,40.68382604,-73.97632327999999
W 48 St &  Rockefeller Plaza,3572,3474,40.7577693544831,-73.97929430007935
Union Ave & N 12 St,3463,3470,40.71924,-73.95241999999999
E 84 St & Park Ave,3455,3458,40.77862688,-73.95772073
E 2 St & 2 Ave,3197,3453,40.725028759999994,-73.99069656000003
Broadway & Morris St,3450,3451,40.7059451327088,-74.01321887969969
Meserole Ave & Manhattan Ave,3361,3421,40.72708583999999,-73.95299117
6 Ave & Walker St,3410,3421,40.71979209013829,-74.0052238852195
